id,song,artist,week,valence,track_id,lyrics
993,Повільно,Adam,2023-03-17,0.481,0NYvacFqoJdJggiOynzbur,
994,Парова Машина,"TeeKai, Ярина Квасній",2023-03-17,0.381,0YhWCf8ZpfW03yzRuF3nsO,
995,Heavy Metal Love,twocolors,2023-03-17,0.457,07VcTAooOBP8hIluuUS5xr,
996,Voin,"YARMAK, TARABAROVA",2023-03-17,0.358,6mxPj26zVw51cqeRxxNOed,
997,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-03-17,0.678,04M7w39gAe2CUkf9AXJKCZ,
998,Незламна,ЛЮСЯ КАВА,2023-03-17,0.276,3uFBrdXhDkmuN6xxUgS9rs,
999,Невідомий Герой,PTASHKIN,2023-03-17,0.562,0fDfRB7OwD9HU6eXiqY7fY,
1000,Бахмут,Spiv Brativ,2023-03-17,0.524,1w8Dgp27eGiKu51jZHFSsZ,
1001,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-03-17,0.707,7HxWZggiHyGWT9ZSmWzcxu,
1002,Відьма,Vsivdoma,2023-03-17,0.667,2oU2e0WRQAoBnCnNvcsu0x,
1003,Враже (енджі крейда cover),Damidas,2023-03-17,0.12,0ekzVQWGaD6oHBINV8JY5h,
1004,Чорне і біле,ZOZULYA,2023-03-17,0.139,7inT18SoRHT6PEE0F9J8Xs,
1005,Марічка,Patsyki Z Franeka,2023-03-17,0.466,2WoksKIDPQ8o90cqDbgE7L,
1006,Троянди,100лиця,2023-03-17,0.306,3pube0HS3OSWDVIpQfU0Q0,
1007,Гуляли,KOZAK SIROMAHA,2023-03-17,0.675,6xnczQ0seXKiu4sPnYEyui,
1008,Fool Me Once,Olivia Addams,2023-03-17,0.609,2ceMvjyfDeGVFmscZY438U,
1009,MMM,Minelli,2023-03-17,0.661,2wtjKTnfYimgKi9cPxPBPV,
1010,Не забудем і не пробачим,SKOFKA,2023-03-17,0.543,6KvQKU21c1ZGEoOajKfim0,
1011,"Мова вітру - З м/ф ""Мавка. Лісова пісня""","Artem Pivovarov, Khrystyna Soloviy",2023-03-17,0.214,7n1uVnlAdVdp6w7NNQr7oD,
1012,По барам,ANNA ASTI,2023-03-17,0.428,4zOLAk87gHl97sbqmntbJG,
1013,BRONIA,"Jerry Heil, Ochman",2023-03-17,0.35,0uQXfbs3IbUcDqe8jx0Z4C,
1014,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-03-17,0.324,2vHzOWRKYPLu8umRPIFuOq,
1015,Ой на горі,Artem Pivovarov,2023-03-17,0.469,1kTtW9kzGGxbQISdhe8pzG,
1016,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-03-17,0.348,4iwY29UTTw5N9ZGtMsAqCF,
1017,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,2023-03-17,0.406,0O3TZYgwaRadNprRONZ7iX,
1018,Кружит,MONATIK,2023-03-17,0.694,2MvXw1lGFDRasfQviQptIh,
1019,Хай нам брате пощастить,YARMAK,2023-03-17,0.551,3xsJI27A38XFbE3CsUGwXi,
1020,Цей сон - Radio Edit,"Леся Нікітюк, Степан Гіга",2023-03-17,0.627,3T5Fm5kBmenqaVCCwc2Cov,
